model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
MLP,4,PT4,cell_fold,log_loss,0.0025674500873984,,,
MLP,4,PT4,patient_fold,roc_auc,,1.0,,
MLP,4,PT4,patient_fold,accuracy,1.0,1.0,,
MLP,4,PT4,patient_fold,precision,0.0,1.0,,
MLP,4,PT4,patient_fold,recall,0.0,1.0,,
MLP,4,PT4,patient_fold,specificity,1.0,1.0,,
MLP,4,PT4,patient_fold,f1,0.0,1.0,,
MLP,4,PT4,patient_fold,brier,1.2080335770751e-06,1.0,,
MLP,4,PT4,patient_fold,log_loss,0.0010997102676918,1.0,,
CNN,4,PT4,cell_fold,roc_auc,,,,
CNN,4,PT4,cell_fold,accuracy,0.998432055749129,,,
CNN,4,PT4,cell_fold,precision,0.0,,,
CNN,4,PT4,cell_fold,recall,0.0,,,
CNN,4,PT4,cell_fold,specificity,0.998432055749129,,,
CNN,4,PT4,cell_fold,f1,0.0,,,
CNN,4,PT4,cell_fold,brier,0.001416417382483,,,
CNN,4,PT4,cell_fold,log_loss,0.0064452427402365,,,
CNN,4,PT4,patient_fold,roc_auc,,1.0,,
CNN,4,PT4,patient_fold,accuracy,1.0,1.0,,
CNN,4,PT4,patient_fold,precision,0.0,1.0,,
CNN,4,PT4,patient_fold,recall,0.0,1.0,,
CNN,4,PT4,patient_fold,specificity,1.0,1.0,,
CNN,4,PT4,patient_fold,f1,0.0,1.0,,
CNN,4,PT4,patient_fold,brier,2.517552025183543e-05,1.0,,
CNN,4,PT4,patient_fold,log_loss,0.0050301513509517,1.0,,
BiLSTM,4,PT4,cell_fold,roc_auc,,,,
BiLSTM,4,PT4,cell_fold,accuracy,0.966376306620209,,,
BiLSTM,4,PT4,cell_fold,precision,0.0,,,
BiLSTM,4,PT4,cell_fold,recall,0.0,,,
BiLSTM,4,PT4,cell_fold,specificity,0.966376306620209,,,
BiLSTM,4,PT4,cell_fold,f1,0.0,,,
BiLSTM,4,PT4,cell_fold,brier,0.0312119719069837,,,
BiLSTM,4,PT4,cell_fold,log_loss,0.1491949526997746,,,
BiLSTM,4,PT4,patient_fold,roc_auc,,1.0,,
BiLSTM,4,PT4,patient_fold,accuracy,1.0,1.0,,
BiLSTM,4,PT4,patient_fold,precision,0.0,1.0,,
BiLSTM,4,PT4,patient_fold,recall,0.0,1.0,,
BiLSTM,4,PT4,patient_fold,specificity,1.0,1.0,,
BiLSTM,4,PT4,patient_fold,f1,0.0,1.0,,
BiLSTM,4,PT4,patient_fold,brier,0.001942574519509,1.0,,
BiLSTM,4,PT4,patient_fold,log_loss,0.0450754517498372,1.0,,
Transformer,4,PT4,cell_fold,roc_auc,,,,
Transformer,4,PT4,cell_fold,accuracy,0.9914634146341464,,,
Transformer,4,PT4,cell_fold,precision,0.0,,,
Transformer,4,PT4,cell_fold,recall,0.0,,,
Transformer,4,PT4,cell_fold,specificity,0.9914634146341464,,,
Transformer,4,PT4,cell_fold,f1,0.0,,,
Transformer,4,PT4,cell_fold,brier,0.0065643510715242,,,
Transformer,4,PT4,cell_fold,log_loss,0.0269420810397446,,,
Transformer,4,PT4,patient_fold,roc_auc,,1.0,,
