sensitivity_analysis,model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
combined_exclude_recurrence,Transformer,3,PT3,cell_fold,log_loss,0.049839642737156,,,
combined_exclude_recurrence,Transformer,3,PT3,patient_fold,roc_auc,,1.0,,
combined_exclude_recurrence,Transformer,3,PT3,patient_fold,accuracy,1.0,1.0,,
combined_exclude_recurrence,Transformer,3,PT3,patient_fold,precision,0.0,1.0,,
combined_exclude_recurrence,Transformer,3,PT3,patient_fold,recall,0.0,1.0,,
combined_exclude_recurrence,Transformer,3,PT3,patient_fold,specificity,1.0,1.0,,
combined_exclude_recurrence,Transformer,3,PT3,patient_fold,f1,0.0,1.0,,
combined_exclude_recurrence,Transformer,3,PT3,patient_fold,brier,0.0001307001098611,1.0,,
combined_exclude_recurrence,Transformer,3,PT3,patient_fold,log_loss,0.0114982673120561,1.0,,
combined_exclude_recurrence,Transformer,4,PT4,cell_fold,roc_auc,,,,
combined_exclude_recurrence,Transformer,4,PT4,cell_fold,accuracy,0.9881514350453172,,,
combined_exclude_recurrence,Transformer,4,PT4,cell_fold,precision,0.0,,,
combined_exclude_recurrence,Transformer,4,PT4,cell_fold,recall,0.0,,,
combined_exclude_recurrence,Transformer,4,PT4,cell_fold,specificity,0.9881514350453172,,,
combined_exclude_recurrence,Transformer,4,PT4,cell_fold,f1,0.0,,,
combined_exclude_recurrence,Transformer,4,PT4,cell_fold,brier,0.0095830633817242,,,
combined_exclude_recurrence,Transformer,4,PT4,cell_fold,log_loss,0.046140694858644,,,
combined_exclude_recurrence,Transformer,4,PT4,patient_fold,roc_auc,,1.0,,
combined_exclude_recurrence,Transformer,4,PT4,patient_fold,accuracy,1.0,1.0,,
combined_exclude_recurrence,Transformer,4,PT4,patient_fold,precision,0.0,1.0,,
combined_exclude_recurrence,Transformer,4,PT4,patient_fold,recall,0.0,1.0,,
combined_exclude_recurrence,Transformer,4,PT4,patient_fold,specificity,1.0,1.0,,
combined_exclude_recurrence,Transformer,4,PT4,patient_fold,f1,0.0,1.0,,
combined_exclude_recurrence,Transformer,4,PT4,patient_fold,brier,0.0001587813112788,1.0,,
combined_exclude_recurrence,Transformer,4,PT4,patient_fold,log_loss,0.0126809096062819,1.0,,
combined_exclude_recurrence,Transformer,pooled,all,cell_pooled,roc_auc,0.9989138584263936,4.0,0.9983634301500406,0.9996969572607748
combined_exclude_recurrence,Transformer,pooled,all,cell_pooled,accuracy,0.9875118715182786,4.0,0.9820014105902778,0.9930111073472516
combined_exclude_recurrence,Transformer,pooled,all,cell_pooled,precision,0.9844329132690882,4.0,0.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,cell_pooled,recall,0.9858613126370844,4.0,0.0,0.9959604641168888
combined_exclude_recurrence,Transformer,pooled,all,cell_pooled,specificity,0.9887074696910442,4.0,0.9881514350453172,0.9893045417680454
combined_exclude_recurrence,Transformer,pooled,all,cell_pooled,f1,0.9851465951814948,4.0,0.0,0.9949627933600456
combined_exclude_recurrence,Transformer,pooled,all,cell_pooled,brier,0.0102805523782542,4.0,0.0057395076760816,0.0145091597783462
combined_exclude_recurrence,Transformer,pooled,all,cell_pooled,log_loss,0.0463408487948946,4.0,0.027466269371133,0.0583320344622931
combined_exclude_recurrence,Transformer,pooled,all,patient_pooled,roc_auc,1.0,4.0,1.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,patient_pooled,accuracy,1.0,4.0,1.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,patient_pooled,precision,1.0,4.0,0.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,patient_pooled,recall,1.0,4.0,0.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,patient_pooled,specificity,1.0,4.0,1.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,patient_pooled,f1,1.0,4.0,0.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,patient_pooled,brier,0.0002135248874204,4.0,5.684266610429269e-05,0.0004389912937226
combined_exclude_recurrence,Transformer,pooled,all,patient_pooled,log_loss,0.0131307427477797,4.0,0.0067649830853712,0.0205376570412779
combined_exclude_recurrence,Transformer,pooled,all,sample_pooled,roc_auc,1.0,8.0,1.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,sample_pooled,accuracy,1.0,8.0,1.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,sample_pooled,precision,1.0,8.0,0.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,sample_pooled,recall,1.0,8.0,0.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,sample_pooled,specificity,1.0,8.0,1.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,sample_pooled,f1,1.0,8.0,0.0,1.0
combined_exclude_recurrence,Transformer,pooled,all,sample_pooled,brier,0.0002254679584787,8.0,8.293621713837787e-05,0.0004480040564648
